Report Date,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,Total
Tue 02 Feb 2021,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,0,1,0,0,0,9,9,13,5,2,5,2,4,0,4,7,2,4,4,4,4,5,5,12,4,6,13,8,6,9,7,8,11,3,5,6,8,8,8,5,5,7,11,15,4,5,12,10,6,6,5,2,3,5,7,3,3,7,7,6,6,1,3,5,5,3,2,6,0,1,1,1,0,0,0,1,0,1,0,389
Wed 03 Feb 2021,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,6,14,14,4,7,2,6,3,1,3,1,1,3,4,4,9,5,3,4,8,7,4,5,9,8,3,3,7,6,8,7,12,6,7,8,12,11,6,12,7,6,8,4,2,4,7,5,6,3,2,3,4,4,2,4,5,0,5,1,8,2,0,5,1,0,2,0,0,1,3,2,1,2,0,362
Thu 04 Feb 2021,3,2,0,2,0,0,0,4,0,0,0,3,1,2,1,1,0,0,0,3,2,1,6,10,14,5,7,4,4,4,2,6,3,4,5,10,4,3,12,11,8,3,5,4,5,12,9,6,5,8,12,3,10,4,5,4,7,7,2,6,10,12,8,6,3,3,6,3,3,4,4,2,0,8,2,4,2,4,4,2,1,6,1,3,3,0,2,2,3,0,0,1,0,2,0,0,378
Fri 05 Feb 2021,1,0,0,0,0,0,4,2,0,0,0,1,0,1,1,0,0,0,0,1,1,1,8,11,14,6,2,6,3,5,3,3,2,3,5,5,1,4,8,5,8,12,6,12,7,2,9,11,9,9,9,6,3,3,7,9,4,3,5,8,12,10,8,3,6,2,6,2,2,3,0,4,1,4,3,3,3,2,3,3,2,2,0,5,3,3,0,1,2,0,0,0,3,1,1,0,352
Sat 06 Feb 2021,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,2,0,1,1,0,6,12,5,3,0,4,3,3,2,3,2,1,1,2,6,1,5,4,2,4,3,6,1,0,1,7,6,8,11,1,2,7,1,2,3,8,1,4,7,0,3,4,5,4,1,3,3,0,3,3,0,0,2,1,0,4,1,1,2,1,2,0,1,1,0,0,3,0,0,0,0,1,0,0,206
Sun 07 Feb 2021,0,2,1,1,0,3,0,1,1,2,0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,2,1,5,4,0,0,2,2,2,0,0,0,1,3,3,1,1,2,1,4,4,2,4,2,3,1,4,4,1,3,4,1,3,5,1,4,4,2,3,2,1,2,2,0,6,0,3,3,1,0,1,1,3,2,0,0,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,140
Mon 08 Feb 2021,0,1,1,0,3,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,5,11,7,5,6,1,5,4,5,4,3,8,1,1,5,5,7,7,8,3,6,6,9,6,10,7,9,12,7,7,10,5,8,8,12,18,12,8,21,11,7,5,4,3,5,4,4,7,6,5,2,3,3,1,5,3,2,0,0,2,2,1,0,3,0,0,2,0,1,1,0,1,0,1,388
Tue 09 Feb 2021,0,0,2,2,3,1,0,2,1,0,0,0,0,0,0,2,0,0,1,2,1,0,10,11,8,4,4,3,3,5,3,4,5,7,2,3,4,10,4,2,3,5,5,7,5,12,11,12,3,6,7,10,8,6,4,5,6,9,15,11,14,14,11,10,3,8,5,3,6,4,3,2,1,2,2,3,1,3,0,0,3,5,4,4,0,1,0,1,0,2,3,1,2,1,2,0,383
Wed 10 Feb 2021,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,1,5,5,13,8,2,2,5,4,2,2,3,2,6,4,7,7,6,6,5,5,7,4,5,5,1,9,6,7,5,12,6,8,6,6,8,8,6,12,12,8,6,11,5,5,8,6,8,3,4,9,4,1,2,3,1,3,2,4,5,2,0,1,3,5,2,1,2,1,0,2,0,0,0,2,0,359
Thu 11 Feb 2021,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,2,6,12,10,4,2,5,3,1,2,5,0,1,5,3,8,2,6,3,8,4,7,8,3,6,9,2,5,6,8,9,7,5,5,8,2,5,3,12,16,11,9,9,6,6,9,8,3,4,4,5,1,1,4,0,6,2,1,1,3,0,6,3,5,2,1,2,1,0,0,1,0,3,2,1,346
